Time,Knee Angle,Thigh Roll,Thigh Pitch,Calf Roll,Calf Pitch
58.81,0.98,-0.03,0.98,0.00,0.00
58.84,1.75,-0.06,1.75,0.00,0.00
58.85,2.45,-0.09,2.45,0.00,0.00
58.86,3.13,-0.13,3.13,0.00,0.00
58.88,3.78,-0.18,3.78,0.00,0.00
58.89,4.40,-0.24,4.40,0.00,0.00
58.91,4.98,-0.31,4.98,0.00,0.00
58.92,5.51,-0.39,5.51,0.00,0.00
58.93,5.99,-0.49,5.99,0.00,0.00
58.94,6.42,-0.59,6.42,0.00,0.00
58.96,6.81,-0.70,6.81,0.00,0.00
58.97,7.15,-0.81,7.15,0.00,0.00
58.99,7.45,-0.92,7.45,0.00,0.00
59.00,7.73,-1.02,7.73,0.00,0.00
59.01,7.99,-1.13,7.99,0.00,0.00
59.03,8.24,-1.23,8.24,0.00,0.00
59.04,8.47,-1.32,8.47,0.00,0.00
59.05,8.69,-1.39,8.69,0.00,0.00
59.07,8.90,-1.46,8.90,0.00,0.00
59.08,9.10,-1.52,9.10,0.00,0.00
59.09,9.30,-1.58,9.30,0.00,0.00
59.11,9.50,-1.63,9.50,0.00,0.00
59.12,9.71,-1.68,9.71,0.00,0.00
59.13,9.93,-1.73,9.93,0.00,0.00
59.15,10.14,-1.78,10.14,0.00,0.00
59.16,10.35,-1.82,10.35,0.00,0.00
59.17,10.56,-1.85,10.56,0.00,0.00
59.19,10.76,-1.87,10.76,0.00,0.00
59.20,10.97,-1.89,10.97,0.00,0.00
59.21,11.19,-1.91,11.19,0.00,0.00
59.23,11.41,-1.91,11.41,0.00,0.00
59.24,11.64,-1.90,11.64,0.00,0.00
59.26,11.86,-1.90,11.86,0.00,0.00
59.27,12.06,-1.90,12.06,0.00,0.00
59.28,12.25,-1.92,12.25,0.00,0.00
59.30,12.42,-1.96,12.42,0.00,0.00
59.31,12.58,-2.00,12.58,0.00,0.00
59.33,12.73,-2.04,12.73,0.00,0.00
59.34,12.87,-2.10,12.87,0.00,0.00
59.35,13.02,-2.15,13.02,0.00,0.00
59.36,13.16,-2.19,13.16,0.00,0.00
59.38,13.29,-2.24,13.29,0.00,0.00
59.39,13.41,-2.28,13.41,0.00,0.00
59.40,13.52,-2.32,13.52,0.00,0.00
59.41,13.63,-2.36,13.63,0.00,0.00
59.43,13.73,-2.39,13.73,0.00,0.00
59.44,13.83,-2.42,13.83,0.00,0.00
59.46,13.92,-2.43,13.92,0.00,0.00
59.47,14.01,-2.44,14.01,0.00,0.00
59.49,14.10,-2.43,14.10,0.00,0.00
59.50,14.20,-2.42,14.20,0.00,0.00
59.51,14.29,-2.40,14.29,0.00,0.00
59.53,14.39,-2.38,14.39,0.00,0.00
59.54,14.49,-2.37,14.49,0.00,0.00
59.55,14.60,-2.35,14.60,0.00,0.00
59.57,14.72,-2.35,14.72,0.00,0.00
59.58,14.85,-2.34,14.85,0.00,0.00
59.59,14.98,-2.33,14.98,0.00,0.00
59.61,15.13,-2.33,15.13,0.00,0.00
59.62,15.28,-2.33,15.28,0.00,0.00
59.63,15.44,-2.33,15.44,0.00,0.00
59.65,15.59,-2.32,15.59,0.00,0.00
59.66,15.74,-2.32,15.74,0.00,0.00
59.67,15.87,-2.32,15.87,0.00,0.00
59.69,16.00,-2.33,16.00,0.00,0.00
59.70,16.10,-2.34,16.10,0.00,0.00
59.71,16.20,-2.35,16.20,0.00,0.00
59.73,16.27,-2.37,16.27,0.00,0.00
59.74,16.33,-2.39,16.33,0.00,0.00
59.75,16.38,-2.41,16.38,0.00,0.00
59.76,16.41,-2.44,16.41,0.00,0.00
59.78,16.42,-2.47,16.42,0.00,0.00
59.79,16.42,-2.51,16.42,0.00,0.00
59.80,16.42,-2.53,16.42,0.00,0.00
59.81,16.41,-2.56,16.41,0.00,0.00
59.83,16.40,-2.58,16.40,0.00,0.00
59.84,16.38,-2.60,16.38,0.00,0.00
59.85,16.36,-2.62,16.36,0.00,0.00
59.87,16.34,-2.63,16.34,0.00,0.00
59.88,16.31,-2.64,16.31,0.00,0.00
