ESP-ROM:esp32s3-20210327
Build:Mar 27 2021
rst:0x1 (POWERON),boot:0x8 (SPI_FAST_FLASH_BOOT)
SPIWP:0xee
mode:DIO, clock div:1
load:0x3fce3808,len:0x44c
load:0x403c9700,len:0xbe4
load:0x403cc700,len:0x2a68
entry 0x403c98d4
Time,Knee Angle,Thigh Roll,Thigh Pitch,Calf Roll,Calf Pitch
0.11,83.90,-0.19,83.90,0.00,0.00
0.11,86.25,-0.19,83.90,-0.58,-2.36
2.11,86.25,-0.19,83.90,-0.58,-2.36
2.11,86.25,-0.19,83.90,-0.58,-2.36
4.12,86.25,-0.19,83.89,-0.58,-2.36
4.12,86.24,-0.19,83.89,-0.59,-2.35
6.12,86.24,-0.19,83.89,-0.59,-2.35
7.12,86.21,-0.16,83.86,-0.59,-2.35
7.12,86.23,-0.16,83.86,-0.56,-2.37
9.13,86.52,-0.09,84.15,-0.56,-2.37
9.13,86.41,-0.09,84.15,-0.68,-2.26
11.13,66.14,-4.23,63.88,-0.68,-2.26
11.13,69.17,-4.23,63.88,-2.59,-5.29
13.13,49.76,-8.05,44.47,-2.59,-5.29
13.13,51.54,-8.05,44.47,-4.50,-7.07
15.14,39.04,-10.63,31.97,-4.50,-7.07
15.14,39.99,-10.63,31.97,-5.66,-8.01
17.14,32.43,-12.78,24.42,-5.66,-8.01
17.14,32.98,-12.78,24.42,-7.10,-8.56
19.14,32.98,-12.78,24.42,-7.10,-8.56
20.15,27.05,-14.32,18.49,-7.10,-8.56
20.15,27.37,-14.32,18.49,-8.09,-8.88
22.15,27.37,-14.32,18.49,-8.09,-8.88
23.15,21.93,-15.37,13.05,-8.09,-8.88
23.15,22.50,-15.37,13.05,-8.39,-9.45
25.15,22.50,-15.37,13.05,-8.39,-9.45
25.15,22.50,-15.37,13.05,-8.39,-9.45
27.16,19.29,-15.76,9.83,-8.39,-9.45
27.16,19.88,-15.76,9.83,-8.23,-10.05
29.16,17.41,-15.11,7.36,-8.23,-10.05
29.16,18.63,-15.11,7.36,-6.88,-11.27
29.16,19.04,-15.11,7.36,-6.59,-11.68
32.16,18.34,-15.10,6.66,-6.59,-11.68
32.16,18.38,-15.10,6.66,-6.60,-11.71
34.17,17.92,-15.17,6.21,-6.60,-11.71
34.17,18.20,-15.17,6.21,-6.55,-11.99
36.17,17.80,-15.30,5.81,-6.55,-11.99
36.17,18.06,-15.30,5.81,-6.62,-12.25
38.17,18.06,-15.30,5.81,-6.62,-12.25
38.17,18.06,-15.30,5.81,-6.62,-12.25
40.18,18.07,-15.40,5.83,-6.62,-12.25
40.18,18.03,-15.40,5.83,-6.73,-12.20
42.18,18.06,-15.44,5.86,-6.73,-12.20
42.18,17.96,-15.44,5.86,-6.77,-12.10
44.19,17.64,-15.02,5.54,-6.77,-12.10
44.19,17.88,-15.02,5.54,-6.25,-12.34
46.19,17.23,-15.00,4.89,-6.25,-12.34
46.19,17.45,-15.00,4.89,-6.27,-12.56
48.19,17.46,-15.20,4.90,-6.27,-12.56
48.19,17.37,-15.20,4.90,-6.49,-12.48
50.25,17.45,-15.60,4.97,-6.49,-12.48
50.25,17.29,-15.60,4.97,-6.96,-12.32
52.25,17.29,-15.67,4.98,-6.96,-12.32
52.25,17.29,-15.67,4.98,-7.03,-12.32
54.25,17.26,-15.71,4.94,-7.03,-12.32
54.25,17.26,-15.71,4.94,-7.09,-12.33
56.25,17.19,-15.30,4.86,-7.09,-12.33
57.26,20.68,-13.35,8.35,-7.09,-12.33
57.26,19.98,-13.35,8.35,-5.18,-11.63
59.26,19.98,-13.35,8.35,-5.18,-11.63
60.26,19.59,-14.71,7.96,-5.18,-11.63
60.26,19.93,-14.71,7.96,-6.93,-11.97
62.26,19.93,-14.71,7.96,-6.93,-11.97
63.27,22.30,-15.80,10.33,-6.93,-11.97
63.27,24.98,-15.80,10.33,-8.65,-14.65
63.27,26.46,-15.80,10.33,-9.87,-16.13
66.27,25.96,-16.99,9.83,-9.87,-16.13
66.27,25.99,-16.99,9.83,-9.88,-16.16
66.27,25.83,-16.99,9.83,-10.03,-16.00
69.28,25.01,-17.42,9.01,-10.03,-16.00
69.28,25.01,-17.42,9.01,-10.03,-16.00
71.36,27.79,-18.30,11.79,-10.03,-16.00
71.36,25.63,-18.30,11.79,-12.14,-13.84
73.36,24.75,-18.35,10.92,-12.14,-13.84
73.36,25.81,-18.35,10.92,-12.33,-14.89
75.36,25.76,-18.43,10.87,-12.33,-14.89
75.36,27.48,-18.43,10.87,-11.78,-16.61
77.36,25.52,-18.23,8.91,-11.78,-16.61
77.36,23.75,-18.23,8.91,-11.60,-14.83
79.37,23.75,-18.23,8.91,-11.60,-14.83
80.37,22.92,-18.54,8.09,-11.60,-14.83
80.37,21.81,-18.54,8.09,-11.17,-13.72
82.37,19.89,-19.43,6.17,-11.17,-13.72
82.37,20.08,-19.43,6.17,-12.00,-13.91
84.37,20.08,-19.43,6.17,-12.00,-13.91
85.38,27.53,-18.56,13.62,-12.00,-13.91
85.38,27.33,-18.56,13.62,-12.95,-13.71
87.38,27.33,-18.56,13.62,-12.95,-13.71
87.38,23.28,-18.56,13.62,-13.40,-9.66
89.39,72.02,-8.52,62.36,-13.40,-9.66
89.39,69.10,-8.52,62.36,-11.34,-6.73
91.39,69.10,-8.52,62.36,-11.34,-6.73
92.39,73.20,-7.48,66.47,-11.34,-6.73
92.39,72.55,-7.48,66.47,-10.88,-6.09
94.39,72.55,-7.48,66.47,-10.88,-6.09
