ESP-ROM:esp32s3-20210327
Build:Mar 27 2021
rst:0x1 (POWERON),boot:0x8 (SPI_FAST_FLASH_BOOT)
SPIWP:0xee
mode:DIO, clock div:1
load:0x3fce3808,len:0x44c
load:0x403c9700,len:0xbe4
load:0x403cc700,len:0x2a68
entry 0x403c98d4
Time,Knee Angle,Thigh Roll,Thigh Pitch,Calf Roll,Calf Pitch
0.16,83.40,-1.50,83.40,0.00,0.00
0.16,87.17,-1.50,83.40,-2.21,-3.77
2.17,87.17,-1.50,83.40,-2.21,-3.77
3.17,87.17,-1.50,83.40,-2.21,-3.77
3.17,87.17,-1.50,83.40,-2.22,-3.77
5.18,87.17,-1.50,83.40,-2.22,-3.77
6.18,87.12,-1.50,83.35,-2.22,-3.77
6.18,87.16,-1.50,83.35,-2.21,-3.81
8.19,59.42,-9.16,55.60,-2.21,-3.81
8.19,62.94,-9.16,55.60,-5.51,-7.34
10.19,62.94,-9.16,55.60,-5.51,-7.34
11.19,45.73,-13.68,38.39,-5.51,-7.34
11.19,47.19,-13.68,38.39,-6.78,-8.79
13.20,32.57,-16.71,23.78,-6.78,-8.79
13.20,35.75,-16.71,23.78,-6.37,-11.97
15.20,32.50,-18.57,20.53,-6.37,-11.97
15.20,34.23,-18.57,20.53,-8.34,-13.70
17.20,31.02,-20.87,17.32,-8.34,-13.70
17.20,33.76,-20.87,17.32,-9.99,-16.44
19.20,33.76,-20.87,17.32,-9.99,-16.44
19.20,33.76,-20.87,17.32,-9.99,-16.44
21.21,33.14,-21.52,16.70,-9.99,-16.44
21.21,30.70,-21.52,16.70,-11.95,-14.00
23.21,28.51,-24.54,14.51,-11.95,-14.00
23.21,28.31,-24.54,14.51,-13.90,-13.80
25.21,26.23,-24.98,12.43,-13.90,-13.80
25.21,26.80,-24.98,12.43,-14.22,-14.37
27.22,25.52,-26.69,11.14,-14.22,-14.37
27.22,28.96,-26.69,11.14,-12.94,-17.81
29.22,35.04,-25.23,17.22,-12.94,-17.81
29.22,33.86,-25.23,17.22,-13.29,-16.64
31.23,56.19,-18.14,39.55,-13.29,-16.64
31.23,51.52,-18.14,39.55,-12.52,-11.98
31.23,48.66,-18.14,39.55,-11.14,-9.12
34.23,72.42,-9.95,63.30,-11.14,-9.12
34.23,70.55,-9.95,63.30,-9.68,-7.25
36.23,70.55,-9.95,63.30,-9.68,-7.25
37.24,73.81,-8.08,66.56,-9.68,-7.25
37.24,72.75,-8.08,66.56,-8.88,-6.19
39.24,79.09,-3.04,72.90,-8.88,-6.19
39.24,76.68,-3.04,72.90,-6.64,-3.78
41.24,76.96,-2.78,73.18,-6.64,-3.78
42.24,79.01,-0.88,75.23,-6.64,-3.78
42.24,77.95,-0.88,75.23,-5.60,-2.72
44.25,80.20,1.04,77.48,-5.60,-2.72
44.25,79.44,1.04,77.48,-4.57,-1.97
46.25,80.22,1.83,78.25,-4.57,-1.97
46.25,80.04,1.83,78.25,-4.06,-1.79
46.25,79.96,1.83,78.25,-3.66,-1.71
49.26,80.33,2.38,78.62,-3.66,-1.71
49.26,80.33,2.38,78.62,-3.66,-1.71
51.26,80.33,2.38,78.62,-3.66,-1.71
52.27,80.57,2.87,78.87,-3.66,-1.71
52.27,80.51,2.87,78.87,-3.38,-1.65
54.27,80.51,2.87,78.87,-3.38,-1.65
55.28,80.69,3.49,79.04,-3.38,-1.65
55.28,80.65,3.49,79.04,-2.95,-1.61
57.28,80.69,3.75,79.08,-2.95,-1.61
57.28,80.65,3.75,79.08,-2.80,-1.57
59.29,80.67,3.85,79.10,-2.80,-1.57
59.29,80.65,3.85,79.10,-2.74,-1.55
